# Plain-Slug Reclassification (per Plain-Slug Lifecycle Rule, Atlas-validated 2026-05-05)
# Cohort: original 130-row plain-slug-mappings.SUPERSEDED.tsv
# Rule: plain /<dogname>/ → success-story by base-name match alone is NOT authorized.
legacy_path	rationale	proposed_action	proposed_destination	dog_id	previous_disposition	notes
/tyson	not_current_available_no_destination	410			308 → /adoption-successes/2024/tyson-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/velma	not_current_available_no_destination	410			308 → /adoption-successes/2025/velma-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/watson	not_current_available_no_destination	410			308 → /adoption-successes/2024/watson-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/waunita	not_current_available_no_destination	410			308 → /adoption-successes/2023/waunita-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/willie	not_current_available_no_destination	410			308 → /adoption-successes/2023/willie-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/willow	not_current_available_no_destination	410			308 → /adoption-successes/2023/willow-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/winston	not_current_available_no_destination	410			308 → /adoption-successes/2025/winston-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/zelda	not_current_available_no_destination	410			308 → /adoption-successes/2025/zelda-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/zena	not_current_available_no_destination	410			308 → /adoption-successes/2025/zena-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/zeus	not_current_available_no_destination	410			308 → /adoption-successes/2024/zeus-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/zeva	not_current_available_no_destination	410			308 → /adoption-successes/2023/zeva-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
